Country,Impact_Day_0,Impact_Day_30,Impact_Day_90,Impact_Day_180,Impact_Day_365
Afghanistan,82.05392159280116,81.5736073297444,80.62139710850698,79.21388211014921,76.39735232380939
Albania,46.19574341282439,45.92533007945806,45.389242855331865,44.59682245114313,43.01113727243808
Algeria,46.63910372441024,46.36609511860361,45.824862836055004,45.024837234258165,43.423933556553635
American Samoa,48.033135514073486,47.751966745550284,47.19455715796762,46.37061897997637,44.72186466963327
Andorra,37.605674085288754,37.38554394056923,36.94914179737566,36.30407146714733,35.01324344649248
Angola,58.043702547680475,57.703935505800054,57.03035640352817,56.03470159129985,54.04233103835685
Antigua and Barbuda,40.582814657500066,40.345257398363586,39.87430646544868,39.178167643596,37.78514822322517
Argentina,44.27556186887294,44.016388590403615,43.50258447544868,42.74310197684957,41.223327706590275
Armenia,48.81471446411443,48.52897061240054,47.962491044364945,47.125146022761236,45.44956373941655
Aruba,52.77751233407529,52.46857168321268,51.856105079295965,50.95078405692157,49.13917733962749
Australia,39.142885782138244,38.913757350816425,38.459516344329884,37.78807739603959,36.4444840419547
Austria,40.130966533064125,39.89605423098379,39.43034685491765,38.74195882668675,37.364449252483794
Azerbaijan,47.900877014977155,47.62048244032907,47.06460767146367,46.242938194559756,44.59872370382516
Bahrain,50.25591277450598,49.961732664159506,49.37852843829714,48.51646176783001,46.791409844394444
Bangladesh,59.17119850445758,58.824831505145916,58.13816816322276,57.12317280713077,55.09210055797879
Barbados,42.25648024741443,42.00912594946715,41.51875264830081,40.79390454145222,39.34343595966581
Belarus,42.61871874609908,42.36924403374418,41.87466706754542,41.14360528912594,39.68070274316695
Belgium,40.18541281672426,39.95018180560353,39.483842597361615,38.79452062277728,37.41514216069295
Belize,46.676430363138465,46.40320326056013,45.86153781398681,45.06087192830313,43.45868700056494
Benin,64.09889980599657,63.72368780850239,62.97984002669572,61.88031716290261,59.680099829340804
Bermuda,48.886484047319094,48.60032008217494,48.03300765046416,47.19443152664345,45.516385727053276
Bhutan,44.71072137834003,44.449000831988265,43.93014682636705,43.16319980292423,41.628488529089346
Bolivia,50.2799587070162,49.985637840394716,49.402154568969735,48.539675425704225,46.81379811715799
Bosnia and Herzegovina,48.877646409322125,48.591534176544926,48.02432430287243,47.18589977580407,45.508157331253805
Botswana,49.213181759162644,48.925105422645366,48.35400176567157,47.509821620489994,45.82056180676528
Brazil,44.98412058456142,44.720799657195464,44.1987729388801,43.42713615197655,41.8830403540027
British Virgin Islands,51.81614061105235,51.5128274858668,50.91151730157393,50.02268720483581,48.2440799108609
Bulgaria,45.253948554144486,44.98904815050432,44.46389016258446,43.687624871560786,42.134267133404606
Burkina Faso,69.82966660060067,69.42090874720749,68.61055720042015,67.41273141509788,65.01580349096042
Burundi,102.09527742711475,101.49764824636294,100.3128643284338,98.56156918676724,95.05711279594283
Cabo Verde,48.99639631316101,48.70958896098618,48.14100103163991,47.30053952367579,45.61872094681162
Cambodia,52.30032883738551,51.994181447772405,51.38725240981395,50.490116772312355,48.69488954677061
Cameroon,60.566907850524004,60.21237086868153,59.50951075420439,58.47057404589179,56.391593581386275
Canada,38.19462922442999,37.97105154730569,37.52781476303154,36.87264176890111,35.561597655462286
Cayman Islands,51.18071167340514,50.88111812159264,50.28718189234729,49.40925164954385,47.65245567787072
Central African Republic,75.11663584012774,74.67692996274262,73.80522478347164,72.51670877450084,69.93830376732416
Chad,73.70680861615041,73.27535536229597,72.42001078915803,71.1556783039521,68.62566611326541
Chile,44.48525023311385,44.22484951407634,43.70861203091878,42.94553263515837,41.418560737872006
China,48.004092823497615,47.723094060481166,47.16602150428325,46.342581511165854,44.69482410141562
Colombia,44.62001119608688,44.358821634647164,43.841020292457934,43.075629269502926,41.54403165465327
Comoros,52.51466036230862,52.207258352728,51.59784206413236,50.69702988283988,48.89444565214372
Costa Rica,41.537779767158106,41.29463248436417,40.81259947857951,40.100079627171375,38.67428069274374
Croatia,42.5075145506659,42.2586907878347,41.765404311712224,41.03625007859849,39.57716465585219
Cuba,42.21765882473798,41.970531773492155,41.48060898285302,40.75642680072337,39.30729077795661
Cyprus,39.74781956001056,39.515150063056815,39.0538889883605,38.37207328599385,37.00771536671736
Denmark,39.90698581013494,39.67338461097065,39.210276461481286,38.52573049491844,37.15590913799323
Djibouti,55.04758015843418,54.72535134372784,54.086541309255985,53.14228059395709,51.25275299829173
Dominica,48.20792620024418,47.92573426965892,47.36629629056592,46.53935983403316,44.884605771765735
Dominican Republic,43.503733754950574,43.24907848177032,42.74423119185005,41.997988275533075,40.504707277388
Ecuador,44.90965726140584,44.64677221565885,44.12560962103239,43.35525014351436,41.81371032535947
El Salvador,44.076033656257565,43.81802834446845,43.30653969231882,42.550479808341905,41.03755441432323
Equatorial Guinea,53.048741322144046,52.73821299394688,52.12259886204222,51.21262530312495,49.39170855519509
Eritrea,51.29021380161943,50.98997926357501,50.39477229621368,49.514963704577895,47.75440903374942
Estonia,39.33883239714657,39.108556964533896,38.65204205856753,37.97724193272292,36.62692264199795
Eswatini,49.82843745933164,49.53675963634691,48.958516128467714,48.10378217173146,46.39340348919337
Ethiopia,63.65276397271957,63.2801634945754,62.5414929802565,61.44962292408614,59.26471936028435
European Union,56.814524597450784,56.481952722966014,55.822637848231444,54.84806778572642,52.8978891992651
Faroe Islands,51.0683616633558,50.7694257682553,50.17679332590823,49.300790283184206,47.547850765214406
Fiji,46.58923737450869,46.3165206684509,45.77586706937227,44.97669685186465,43.37750485420061
Finland,38.07342436262454,37.850556175342376,37.40872593576511,36.755632033743304,35.44874831991607
France,41.40650329612437,41.164124458765066,40.68361487556764,39.97334687999193,38.55205405671334
French Polynesia,53.584163671406756,53.27050117257986,52.648673630959365,51.72951568484385,49.890220376015286
Gabon,51.39393436167349,51.093092680626036,50.496682068447754,49.61509430232426,47.85097938670581
Georgia,46.6383915872112,46.36538715000063,45.824163131582566,45.024149745457684,43.42327051211357
Germany,40.725472362408716,40.48708003617157,40.01447360499266,39.31588769888864,37.91797150250361
Ghana,60.88265273449255,60.52626749520774,59.819743259626065,58.775390409693244,56.68557189073136
Gibraltar,52.2886468973434,51.98256788962251,51.375774416942306,50.478839166034064,48.684012927202666
Greece,43.56714595490556,43.31211948942275,42.806536320658715,42.059205660809404,40.56374801654524
Greenland,47.71860748488537,47.439279850772536,46.885520263073424,46.066977353338615,44.42901932848255
Grenada,44.02182945268277,43.76414143288397,43.253281803646054,42.49815171349282,40.987086897871244
Guam,50.44281218015729,50.14753802764259,49.56216489234908,48.696892235970104,46.96542492454518
Guatemala,50.60701662526488,50.31078127875102,49.7235026019798,48.85541325853944,47.11830957164681
